belong,id_gdf,time,geometry,area_tb,centroid_,mean_tb,intersection_percentage,distance_c,direction,total_duration,total_distance,mean_velocity
2b8efdc7-3225,4292-aa73-a54608e3e200,2001-12-29 21:00:00,"POLYGON ((-76.55820465087891 -7.695571422576907, -76.95836639404298 -7.295329570770266, -76.99474334716797 -7.258944988250727, -76.95836639404298 -7.14978742599487, -76.88561248779297 -7.077014446258547, -76.84922790527344 -7.040629863739008, -76.41268920898438 -6.785930156707771, -75.90339660644531 -6.785930156707766, -75.72150421142578 -6.967856884002684, -75.72150421142578 -7.14978742599487, -75.79425811767578 -7.404487133026124, -75.86701965332031 -7.586413860321048, -76.01252746582031 -7.659186840057373, -76.26718139648438 -7.695571422576901, -76.55820465087891 -7.695571422576907))",10764.0,POINT (-76.29860194144874 -7.232405414106386),211.5083,25.3,32.445653859602785,215.1,4,114.05869556808491,28.51467389202123
2b8efdc7-3225,42c3-a949-824061eb7cc3,2001-12-29 22:00:00,"POLYGON ((-76.37631225585939 -7.986659526824944, -76.77647399902344 -7.8411135673523, -76.95836639404298 -7.513644695281988, -76.95836639404298 -7.331714153289792, -76.88561248779297 -7.295329570770269, -76.55820465087891 -7.258944988250725, -76.52182769775391 -7.258944988250733, -76.08528900146484 -7.550029277801506, -76.15804290771484 -7.731959819793705, -76.37631225585939 -7.986659526824944))",5168.8,POINT (-76.54489005536908 -7.59396319576889),212.8857,,48.35384632769824,214.3,4,114.05869556808491,28.51467389202123
2b8efdc7-3225,4338-9f04-8a04be7f0d24,2001-12-29 20:00:00,"POLYGON ((-76.26718139648438 -7.586413860321041, -76.55820465087891 -7.550029277801514, -76.77647399902344 -7.368102550506586, -76.81285095214844 -7.33171415328979, -76.99474334716797 -7.040629863739021, -76.95836639404298 -6.858703136444099, -76.88561248779297 -6.749545574188229, -76.81285095214844 -6.67677259445191, -76.70372009277344 -6.60400342941285, -76.23079681396484 -6.422072887420652, -76.19441986083984 -6.422072887420657, -75.35771942138672 -6.640388011932376, -75.13945007324219 -6.749545574188237, -75.13945007324219 -6.858703136444101, -75.61236572265625 -7.331714153289789, -75.90339660644531 -7.513644695281986, -75.97615051269531 -7.550029277801511, -76.23079681396484 -7.586413860321049, -76.26718139648438 -7.586413860321041))",17971.2,POINT (-76.12966288723979 -6.992412124548968),209.7825,50.7,33.25919538078389,195.3,4,114.05869556808491,28.51467389202123
2b8efdc7-3225,4cbb-8f7c-d23e26aa97fe,2001-12-29 19:00:00,"POLYGON ((-76.52182769775391 -7.440871715545656, -76.59458160400391 -7.40448713302613, -76.66734313964844 -7.331714153289789, -76.84922790527344 -7.004245281219482, -76.88561248779297 -6.931472301483151, -76.88561248779297 -6.64038801193238, -76.84922790527344 -6.56761503219605, -76.74009704589844 -6.458457469940187, -76.66734313964844 -6.385688304901118, -76.52182769775391 -6.240146160125732, -76.19441986083984 -6.021831035614019, -76.12166595458984 -5.985446453094477, -75.68512725830078 -5.912673473358161, -75.64874267578125 -5.912673473358153, -75.46685791015626 -5.949058055877678, -75.24858093261719 -6.604003429412844, -75.24858093261719 -6.676772594451907, -75.39409637451172 -7.077014446258552, -75.53961181640625 -7.258944988250737, -76.23079681396484 -7.440871715545645, -76.52182769775391 -7.440871715545656))",22988.6,POINT (-76.05023804803496 -6.702334771031531),206.5761,64.0,,,4,114.05869556808491,28.51467389202123
34eead05-0cea,4099-9519-689c6d92f436,2001-12-29 21:00:00,"POLYGON ((-75.17582702636719 -8.605212211608887, -75.46685791015626 -8.496058464050288, -75.46685791015626 -8.386900901794435, -75.39409637451172 -8.314127922058104, -75.10307312011719 -8.241358757019036, -75.06669616699219 -8.241358757019047, -74.95755767822266 -8.314127922058105, -74.92118072509766 -8.350512504577633, -74.95755767822266 -8.42328548431397, -74.99393463134766 -8.4596700668335, -75.13945007324219 -8.605212211608892, -75.17582702636719 -8.605212211608887))",1611.0,POINT (-75.19995506375277 -8.414634302666395),213.7864,,8.196541339756255,262.3,3,21.750121898594948,7.250040632864983
34eead05-0cea,40fe-9a89-ba7f01d8218a,2001-12-29 19:00:00,"POLYGON ((-75.39409637451172 -8.823527336120607, -75.57598876953125 -8.35051250457763, -75.57598876953125 -8.277743339538581, -75.53961181640625 -8.204970359802241, -75.32134246826172 -7.87750196456909, -75.24858093261719 -7.84111356735229, -75.13945007324219 -7.804728984832763, -75.03031158447266 -7.804728984832762, -74.95755767822266 -7.84111356735229, -74.44825744628906 -8.204970359802251, -74.41188049316406 -8.35051250457764, -74.41188049316406 -8.386900901794434, -74.59377288818359 -8.641600608825678, -74.70291137695312 -8.677985191345217, -75.35771942138672 -8.823527336120613, -75.39409637451172 -8.823527336120607))",9958.2,POINT (-75.03200723974284 -8.325832570919399),208.5105,68.5,,,3,21.750121898594948,7.250040632864983
34eead05-0cea,4556-b8bc-d3d7043e6728,2001-12-29 20:00:00,"POLYGON ((-75.28496551513672 -8.823527336120598, -75.39409637451172 -8.71436977386475, -75.61236572265625 -8.459670066833501, -75.50323486328125 -8.168585777282722, -75.46685791015626 -8.132201194763184, -75.35771942138672 -8.023043632507317, -75.13945007324219 -7.91388654708863, -75.10307312011719 -7.913886547088616, -74.99393463134766 -7.950271129608161, -74.81204223632812 -8.132201194763192, -74.73928833007812 -8.386900901794432, -74.66653442382812 -8.750758171081547, -74.84841918945314 -8.78714275360108, -75.10307312011719 -8.8235273361206, -75.28496551513672 -8.823527336120598))",7402.4,POINT (-75.12620262591903 -8.404687946877157),210.3094,21.8,13.553580558838691,230.1,3,21.750121898594948,7.250040632864983
415870c4-7f30,47ef-843f-dab6a939cf19,2001-12-29 21:00:00,"POLYGON ((-80.77809143066406 9.660405158996575, -81.17825317382812 9.805943489074705, -81.43289947509766 9.987874031066889, -81.43289947509766 10.09702777862549, -81.39652252197266 10.20618915557861, -81.28739166259766 10.46088886260987, -81.25100708007812 10.53365802764893, -80.66895294189453 10.67920398712158, -80.52344512939453 9.842328071594242, -80.74171447753906 9.660405158996575, -80.77809143066406 9.660405158996575))",7964.8,POINT (-80.9506274020934 10.15768690898192),214.9877,,15.90687384393498,18.9,3,68.19992516434374,22.73330838811458
415870c4-7f30,4c04-93a6-d7e324db3861,2001-12-29 19:00:00,"POLYGON ((-80.77809143066406 9.151005744934075, -80.99636077880859 9.660405158996589, -80.99636077880859 9.733174324035636, -80.88722991943359 9.951489448547367, -80.63257598876953 10.24257373809814, -80.52344512939453 10.20618915557862, -80.30517578125 10.06064319610597, -80.26879119873047 9.951489448547365, -80.26879119873047 9.878712654113764, -80.45068359375 9.405705451965339, -80.52344512939453 9.260159492492683, -80.70533752441406 9.151005744934077, -80.77809143066406 9.151005744934075))",6254.7,POINT (-80.6343727890346 9.714822528505804),213.8886,18.3,,,3,68.19992516434374,22.73330838811458
415870c4-7f30,4e7d-bf89-75cbeca98c00,2001-12-29 20:00:00,"POLYGON ((-81.32376861572266 9.696789741516106, -81.39652252197266 9.769558906555172, -81.39652252197266 10.06064319610596, -81.36014556884766 10.13341236114502, -81.32376861572266 10.16980457305908, -81.28739166259766 10.20618915557861, -81.21463012695312 10.24257373809813, -80.85084533691406 10.38811206817626, -80.70533752441406 10.38811206817627, -80.59619903564453 10.35172748565673, -80.63257598876953 10.06064319610596, -80.77809143066406 9.696789741516106, -81.32376861572266 9.696789741516106))",5373.5,POINT (-80.99723312147954 10.02149208080248),212.1073,59.0,52.29305132040876,310.2,3,68.19992516434374,22.73330838811458
