belong,id_gdf,time,geometry,area_tb,centroid_,mean_tb,intersection_percentage,distance_c,direction,total_duration,total_distance,mean_velocity
4cf79017-962e,47c6-864c-8fdadb9dd653,2001-12-30 03:00:00,"POLYGON ((-80.34155273437501 6.276531696319575, -80.55982208251953 6.312916278839114, -80.85084533691406 6.3856930732727, -81.28739166259766 6.531231403350835, -81.36014556884766 6.567615985870365, -81.61479187011719 6.74954652786255, -81.68755340576172 6.967861652374263, -81.68755340576172 7.004246234893794, -81.46927642822266 7.404491901397697, -81.25100708007812 7.586414813995357, -81.14187622070312 7.659191608428952, -79.25019836425781 8.82352924346924, -79.03192901611328 8.896306037902832, -78.04971313476562 9.151005744934075, -77.90420532226564 9.18739032745362, -77.35852813720703 9.260159492492683, -76.77647399902344 9.151005744934091, -76.66734313964844 9.041844367980955, -76.66734313964844 9.005459785461417, -76.74009704589844 8.932690620422363, -78.70452880859375 7.22256135940551, -79.97776794433594 6.349300861358634, -80.08690643310547 6.276531696319576, -80.34155273437501 6.276531696319575))",85647.9,POINT (-79.37532259096105 7.781011512358623),212.0901,55.4,221.78896521537771,243.0,3,298.2630457520235,99.4210152506745
4cf79017-962e,49cf-a933-1686ee9e745c,2001-12-30 00:00:00,"POLYGON ((-77.97695922851562 8.204976081848141, -78.01333618164062 8.241360664367676, -78.04971313476562 8.423291206359858, -78.04971313476562 8.459675788879395, -77.94058227539062 8.605214118957525, -77.50404357910156 9.114613533020023, -77.46766662597656 9.151005744934075, -77.43128204345703 9.187390327453613, -77.32215118408203 9.223774909973146, -77.2493896484375 9.223774909973148, -77.1766357421875 9.18739032745362, -77.1038818359375 9.114613533020021, -77.1038818359375 9.041844367980953, -77.50404357910156 8.386898994445808, -77.64955139160156 8.241360664367683, -77.83144378662109 8.204976081848137, -77.97695922851562 8.204976081848141))",5935.6,POINT (-77.58250193400458 8.692979229237435),212.4685,48.1,,,3,298.2630457520235,99.4210152506745
4cf79017-962e,4ca8-b1db-c5c9611b2482,2001-12-30 06:00:00,"POLYGON ((-77.43128204345703 5.91267824172974, -80.81446838378906 6.167377948760978, -81.03273773193359 6.240147113800046, -81.50566101074219 6.458462238311762, -81.57841491699219 6.531231403350823, -81.65116882324219 6.822315692901616, -81.65116882324219 7.04063081741333, -81.61479187011719 7.113399982452385, -80.59619903564453 7.877499103546147, -80.414306640625 7.986660480499263, -78.70452880859375 8.932690620422358, -77.61317443847656 9.223774909973145, -77.57679748535156 9.223774909973146, -77.50404357910156 9.151005744934082, -76.70372009277344 7.331715106964116, -76.66734313964844 7.149792194366452, -76.66734313964844 7.113399982452387, -76.77647399902344 6.312916278839113, -76.92198944091797 6.203762531280523, -77.35852813720703 5.912678241729729, -77.43128204345703 5.91267824172974))",136094.6,POINT (-78.86835334806278 7.309615010047808),213.857,,76.47408053664581,132.9,3,298.2630457520235,99.4210152506745
5b89d2ad-e4b3,4800-9d85-daec01ee1294,2001-12-30 11:00:00,"POLYGON ((-77.72231292724609 9.07822895050049, -77.94058227539062 9.296544075012205, -78.01333618164062 9.405705451965325, -77.79506683349609 9.660405158996589, -77.35852813720703 9.842328071594244, -77.32215118408203 9.842328071594235, -77.1766357421875 9.805943489074703, -77.2493896484375 9.587628364562983, -77.35852813720703 9.2965440750122, -77.39490509033203 9.223774909973139, -77.54042053222656 9.114613533020018, -77.64955139160156 9.078228950500487, -77.72231292724609 9.07822895050049))",4611.8,POINT (-77.58271567151188 9.464008458262834),211.3219,19.9,11.306865057156019,42.4,4,175.9769995787105,43.99424989467762
5b89d2ad-e4b3,4c4e-af2b-fedf52ba8bb6,2001-12-30 10:00:00,"POLYGON ((-78.01333618164062 8.932690620422369, -78.30436706542969 8.969075202941896, -78.37712097167969 9.005459785461422, -78.30436706542969 9.151005744934084, -77.97695922851562 9.514859199523935, -77.61317443847656 9.805943489074712, -77.32215118408203 9.915104866027821, -77.1402587890625 9.842328071594235, -77.0675048828125 9.696789741516119, -77.0675048828125 9.442090034484872, -77.1402587890625 9.369313240051268, -77.28577423095703 9.260159492492672, -77.54042053222656 9.07822895050049, -77.64955139160156 9.005459785461426, -77.94058227539062 8.932690620422358, -78.01333618164062 8.932690620422369))",8848.3,POINT (-77.65183506044876 9.38824506300516),211.5835,52.1,,,4,175.9769995787105,43.99424989467762
5b89d2ad-e4b3,4f81-88d6-c1319a19b62a,2001-12-30 14:00:00,"POLYGON ((-78.12247467041016 9.005459785461433, -78.30436706542969 9.260159492492685, -78.30436706542969 9.587628364562992, -78.23160552978516 9.915104866027821, -78.15885162353516 9.987874031066902, -78.04971313476562 10.06064319610596, -77.79506683349609 10.20618915557862, -77.2493896484375 10.4972734451294, -76.99474334716797 10.57004261016847, -76.84922790527344 10.57004261016847, -76.63095855712891 10.42450428009034, -76.37631225585939 10.13341236114502, -76.37631225585939 9.987874031066895, -76.44906616210938 9.915104866027834, -77.83144378662109 9.005459785461424, -78.12247467041016 9.005459785461433))",21876.5,POINT (-77.42753321578968 9.820707851854351),211.4375,21.9,42.9724529214665,23.5,4,175.9769995787105,43.99424989467762
5b89d2ad-e4b3,4f82-bf9f-59eec21d6c9a,2001-12-30 17:00:00,"POLYGON ((-78.23160552978516 8.823529243469247, -79.65036010742188 9.005459785461424, -79.68674468994141 9.041844367980961, -79.86862945556641 9.442090034484865, -79.86862945556641 9.624012947082509, -79.83225250244141 9.733174324035637, -79.72312164306641 9.951489448547356, -79.43209075927734 10.31534290313721, -78.66814422607422 11.18860340118409, -78.63176727294922 11.2249879837036, -78.48625946044923 11.29775714874267, -78.34074401855469 11.29775714874268, -78.26798248291016 11.26137256622313, -78.01333618164062 11.1158266067505, -77.86782836914062 10.97028827667236, -77.1766357421875 9.951489448547354, -77.1766357421875 9.878712654113761, -77.32215118408203 9.62401294708252, -77.39490509033203 9.551243782043452, -78.01333618164062 8.932690620422369, -78.12247467041016 8.859913825988775, -78.19522857666016 8.823529243469235, -78.23160552978516 8.823529243469247))",53076.7,POINT (-78.53180988041225 9.927938727499397),210.8232,,121.69768160008798,275.5,4,175.9769995787105,43.99424989467762
6099b2b6-02eb,4101-8b79-598d56de82e5,2001-12-29 22:00:00,"POLYGON ((-76.48545074462891 4.67556428909302, -76.66734313964844 4.784718036651603, -76.63095855712891 4.821102619171134, -76.33993530273438 5.075802326202398, -76.23079681396484 5.112186908721926, -76.19441986083984 5.112186908721932, -76.04890441894531 5.075802326202385, -76.01252746582031 5.039417743682867, -75.93977355957031 4.857487201690675, -75.93977355957031 4.821102619171143, -75.97615051269531 4.784718036651617, -76.19441986083984 4.711948871612544, -76.33993530273438 4.675564289093019, -76.48545074462891 4.67556428909302))",2540.1,POINT (-76.27090345935864 4.877565576801248),213.9935,,21.285736926632783,36.5,3,22.86029213331398,7.620097377771327
6099b2b6-02eb,41b4-bf38-1ea7331875dc,2001-12-29 20:00:00,"POLYGON ((-76.59458160400391 4.457249164581291, -76.66734313964844 4.530018329620362, -76.70372009277344 4.566402912139899, -76.55820465087891 4.821102619171136, -76.41268920898438 4.930263996124265, -76.04890441894531 4.930263996124275, -76.04890441894531 4.857487201690665, -76.19441986083984 4.639179706573484, -76.23079681396484 4.602787494659429, -76.26718139648438 4.566402912139899, -76.37631225585939 4.493633747100831, -76.44906616210938 4.457249164581296, -76.59458160400391 4.457249164581291))",2443.6,POINT (-76.38244381953589 4.709158020104478),212.4037,57.6,,,3,22.86029213331398,7.620097377771327
6099b2b6-02eb,463a-b7b1-a04ac04ffa4d,2001-12-29 21:00:00,"POLYGON ((-76.77647399902344 4.384479999542241, -76.77647399902344 4.675564289093022, -76.66734313964844 4.784718036651603, -76.33993530273438 5.039417743682866, -75.93977355957031 5.003033161163337, -75.90339660644531 4.966648578643807, -75.90339660644531 4.893879413604733, -75.93977355957031 4.857487201690675, -76.41268920898438 4.42086458206176, -76.55820465087891 4.384479999542229, -76.77647399902344 4.384479999542241))",4245.5,POINT (-76.38538257700293 4.723088244208232),211.7154,50.7,1.574555206681196,348.1,3,22.86029213331398,7.620097377771327
